prompt_class,layer,head,mean_forman_curvature_mean,mean_forman_curvature_std,mean_forman_curvature_median,density_mean,density_std,density_median,n_edges_mean,n_edges_std,n_edges_median,lcc_size_mean,lcc_size_std,lcc_size_median,row_entropy_mean_mean,row_entropy_mean_std,row_entropy_mean_median,avg_shortest_path_lcc_mean,avg_shortest_path_lcc_std,avg_shortest_path_lcc_median,mean_forman_curvature_ci_lo,mean_forman_curvature_ci_hi,density_ci_lo,density_ci_hi,n_edges_ci_lo,n_edges_ci_hi,lcc_size_ci_lo,lcc_size_ci_hi,row_entropy_mean_ci_lo,row_entropy_mean_ci_hi,avg_shortest_path_lcc_ci_lo,avg_shortest_path_lcc_ci_hi
logical_relational,8,11,66.920849889457,17.43686153908183,72.16643657755844,0.4692832262336906,0.03041131267679374,0.479004329004329,85.1,36.09693738932555,78.0,13.8,3.1198290551460235,13.0,1.384225976614528,0.20285709678083008,1.3941793517841328,1.719138879629209,0.3376388536362367,1.695804712919165,57.02346587668333,76.63887125392216,0.45080119712588745,0.4868933719788983,66.9975,106.405,12.2,15.6,1.2705996216046247,1.5026442402622133,1.5355092834046848,1.920587730704578
logical_relational,11,0,67.29058531331404,31.350399125771258,57.039440563758724,0.4983574131406948,0.0041743786114697475,0.5,92.1,44.57066798292846,78.5,13.8,3.1198290551460235,13.0,1.6182372381434749,0.1742923088865946,1.5881503122253018,2.0377578808230803,0.25335692444469066,1.9755084499730184,51.76857496451765,85.37980049937802,0.49572583419332644,0.5,70.2,118.4075,12.2,15.6,1.5267417896904283,1.721105539101055,1.9098527916655945,2.184635859467872
logical_relational,11,1,69.84852870611914,31.59480019338009,64.54826485308092,0.49529874837924376,0.007913869244888159,0.5,91.2,43.16840408343944,78.0,13.8,3.1198290551460235,13.0,1.5560934035572802,0.15025689863765807,1.5200316512084506,1.957439440993476,0.24509032296371297,1.8874544429326217,53.8075853963159,88.66571022745237,0.4903150584795322,0.4990476190476191,70.1975,116.50999999999999,12.2,15.6,1.4754269443540682,1.6473705656336066,1.8334261222101669,2.1017568423709885
logical_relational,11,2,73.53377784902503,22.810244144327772,65.54079908721687,0.48522933035316934,0.02407899027455904,0.4938311688311688,88.1,37.73724950231535,77.0,13.8,3.1198290551460235,13.0,1.420705236887973,0.14003515736008812,1.418614159639065,1.6761657027632704,0.19408228323483936,1.6482542671737204,61.10273647126088,86.79158389119202,0.46972899619300545,0.4973859473859473,69.39500000000001,109.80499999999999,12.2,15.6,1.341651580616995,1.5019474513003113,1.568306319778405,1.7949949282765765
logical_relational,11,3,72.9997521165379,23.872664554172328,67.99589498852193,0.489422330335643,0.02121590968707559,0.5,89.1,38.957098910924515,78.5,13.8,3.1198290551460235,13.0,1.4800848403819162,0.1497166314132226,1.483886216367994,1.9862847543286832,0.28868524110342564,1.9738204580916159,60.161912070028144,86.73030733570278,0.47522187822497414,0.5,69.7,111.9,12.2,15.6,1.3957461686146306,1.5701012989905896,1.8286684651244556,2.155358539728085
logical_relational,11,4,66.29832047052739,27.282501923366237,57.13844763694428,0.48959294919047236,0.016710223254304615,0.5,89.6,41.06417741373455,76.5,13.8,3.1198290551460235,13.0,1.566461281477117,0.14943679917120364,1.5354690174539605,1.9871020903927625,0.23542804036567988,1.913142874220104,52.521621420498626,82.87347779660531,0.47870199631809535,0.4990476190476191,69.795,113.9025,12.2,15.6,1.4847235664612612,1.6521849592304703,1.855341946358561,2.1269629207149787
logical_relational,11,5,67.48959812433337,20.55094295830077,64.87916157805411,0.4831495611371772,0.02374725159890633,0.49307359307359305,87.9,38.32449173396389,77.0,13.8,3.1198290551460235,13.0,1.4942372653646714,0.1482097936045882,1.4733236880077945,1.899014223020219,0.19282995018199883,1.8407096755764383,56.0193227888627,79.25178033730073,0.4676665572129968,0.496057276057276,68.9975,110.30499999999999,12.2,15.6,1.414639901017601,1.58288453612655,1.7974708181910082,2.013691358476681
logical_relational,11,6,77.35081551572398,23.233912470679254,69.62642907573232,0.4869180303700428,0.028656427899219305,0.5,88.1,36.63468302032925,78.5,13.8,3.1198290551460235,13.0,1.391728759072738,0.14775448904837596,1.3456426715100562,1.6074100666365747,0.26667448644584646,1.5318675831107602,64.55290091773048,90.77463085724311,0.46954960931741113,0.5,69.4975,109.505,12.2,15.6,1.3059277660374724,1.480892868733708,1.4536758218554269,1.7718743047480119
logical_relational,11,7,71.67180826952617,30.210082190374877,60.39268213510268,0.4937187803596473,0.010992291755971969,0.5,90.7,42.30327016516178,77.5,13.8,3.1198290551460235,13.0,1.5117427768362508,0.15850618932680302,1.48181333512693,1.906271269671081,0.21836992262472085,1.8937915241723717,56.963883340556734,89.4781456828315,0.48633705587498166,0.5,70.0975,115.505,12.2,15.6,1.423412931596006,1.6020716947088618,1.7822350706288947,2.03305808946334
logical_relational,11,8,70.38041825792757,24.619871992505825,66.28670402192978,0.4880516645377327,0.020697920676125192,0.4976190476190476,88.9,39.10797020216382,78.0,13.8,3.1198290551460235,13.0,1.4867038064021216,0.11318469691272165,1.489169343368157,1.9974020916366488,0.16068053218024284,1.9277880033980128,57.119676137857795,85.23620425401572,0.473819977365256,0.49869297369297366,69.69500000000001,111.8025,12.2,15.6,1.423121147622742,1.5502031652977546,1.9106534979846288,2.093769281749433
